CMDLINE python train.py
MEM 0.687500 1618256838.5346
MEM 325.417969 1618256838.6349
MEM 845.355469 1618256838.7351
MEM 887.964844 1618256838.8353
MEM 957.933594 1618256838.9355
MEM 977.628906 1618256839.0357
MEM 1010.078125 1618256839.1359
MEM 1028.257812 1618256839.2362
MEM 1047.601562 1618256839.3364
MEM 1067.609375 1618256839.4367
MEM 1077.257812 1618256839.5370
MEM 1077.750000 1618256839.6372
MEM 1077.820312 1618256839.7374
MEM 1082.812500 1618256839.8377
MEM 1082.917969 1618256839.9379
MEM 1082.968750 1618256840.0382
MEM 1085.214844 1618256840.1385
MEM 1085.347656 1618256840.2389
MEM 1085.347656 1618256840.3397
MEM 1085.347656 1618256840.4406
MEM 1085.347656 1618256840.5414
MEM 1085.347656 1618256840.6417
MEM 1085.347656 1618256840.7421
MEM 1085.566406 1618256840.8423
MEM 1085.839844 1618256840.9426
MEM 1085.839844 1618256841.0428
MEM 1085.839844 1618256841.1431
MEM 1085.839844 1618256841.2433
MEM 1085.839844 1618256841.3436
MEM 1085.839844 1618256841.4438
MEM 1085.917969 1618256841.5441
MEM 1085.917969 1618256841.6443
MEM 1085.917969 1618256841.7446
MEM 1085.917969 1618256841.8454
MEM 1085.917969 1618256841.9462
MEM 1085.917969 1618256842.0465
MEM 1085.917969 1618256842.1473
MEM 1085.917969 1618256842.2481
MEM 1085.917969 1618256842.3484
MEM 1086.308594 1618256842.4487
MEM 1086.402344 1618256842.5489
MEM 1086.406250 1618256842.6494
MEM 1086.406250 1618256842.7500
MEM 1086.406250 1618256842.8509
MEM 1086.406250 1618256842.9518
MEM 1086.406250 1618256843.0527
MEM 1086.406250 1618256843.1536
MEM 1086.406250 1618256843.2544
MEM 1086.406250 1618256843.3553
MEM 1086.406250 1618256843.4560
MEM 1086.406250 1618256843.5564
MEM 1086.406250 1618256843.6569
MEM 1086.406250 1618256843.7572
MEM 1086.406250 1618256843.8575
MEM 1086.406250 1618256843.9578
MEM 1086.406250 1618256844.0581
MEM 1086.406250 1618256844.1583
MEM 1086.406250 1618256844.2586
MEM 1086.406250 1618256844.3590
MEM 1086.406250 1618256844.4593
MEM 1086.406250 1618256844.5596
MEM 1086.406250 1618256844.6599
MEM 1086.406250 1618256844.7602
MEM 1086.406250 1618256844.8606
MEM 1086.406250 1618256844.9609
MEM 1086.406250 1618256845.0612
MEM 1086.406250 1618256845.1616
MEM 1086.425781 1618256845.2620
MEM 1086.425781 1618256845.3624
MEM 1086.425781 1618256845.4629
MEM 1086.425781 1618256845.5633
MEM 1086.425781 1618256845.6638
MEM 1143.796875 1618256845.7641
MEM 1235.179688 1618256845.8645
MEM 1439.882812 1618256845.9647
MEM 1625.031250 1618256846.0650
MEM 1834.152344 1618256846.1652
MEM 2035.156250 1618256846.2655
MEM 2229.855469 1618256846.3657
MEM 2428.230469 1618256846.4660
MEM 2608.968750 1618256846.5662
MEM 2817.808594 1618256846.6665
MEM 2996.125000 1618256846.7667
MEM 3218.910156 1618256846.8670
MEM 3375.085938 1618256846.9672
MEM 3566.539062 1618256847.0675
MEM 3761.277344 1618256847.1677
MEM 3936.394531 1618256847.2680
MEM 4198.093750 1618256847.3682
MEM 4280.148438 1618256847.4685
MEM 4444.011719 1618256847.5687
MEM 4458.433594 1618256847.6691
MEM 4458.449219 1618256847.7708
MEM 4458.449219 1618256847.8711
MEM 4458.449219 1618256847.9714
MEM 4458.449219 1618256848.0716
MEM 4458.449219 1618256848.1724
MEM 4458.449219 1618256848.2729
MEM 4458.449219 1618256848.3738
MEM 4458.449219 1618256848.4743
MEM 4458.449219 1618256848.5746
MEM 4458.449219 1618256848.6748
MEM 4458.449219 1618256848.7751
MEM 4458.449219 1618256848.8761
MEM 4458.449219 1618256848.9768
MEM 4458.449219 1618256849.0772
MEM 4458.449219 1618256849.1774
MEM 4458.449219 1618256849.2782
MEM 4458.449219 1618256849.3787
MEM 4458.449219 1618256849.4792
MEM 4458.449219 1618256849.5800
MEM 4458.449219 1618256849.6808
MEM 4458.449219 1618256849.7816
