CMDLINE python train.py
MEM 6.617188 1618256922.7513
MEM 411.152344 1618256922.8517
MEM 854.101562 1618256922.9520
MEM 898.796875 1618256923.0523
MEM 962.917969 1618256923.1525
MEM 984.132812 1618256923.2528
MEM 1010.031250 1618256923.3531
MEM 1028.558594 1618256923.4534
MEM 1049.421875 1618256923.5536
MEM 1069.289062 1618256923.6539
MEM 1077.433594 1618256923.7542
MEM 1077.855469 1618256923.8544
MEM 1077.925781 1618256923.9547
MEM 1082.933594 1618256924.0550
MEM 1083.042969 1618256924.1553
MEM 1083.445312 1618256924.2556
MEM 1085.019531 1618256924.3559
MEM 1085.484375 1618256924.4562
MEM 1085.734375 1618256924.5564
MEM 1085.734375 1618256924.6566
MEM 1085.734375 1618256924.7569
MEM 1085.734375 1618256924.8572
MEM 1085.734375 1618256924.9575
MEM 1085.734375 1618256925.0577
MEM 1085.734375 1618256925.1580
MEM 1085.734375 1618256925.2582
MEM 1085.734375 1618256925.3585
MEM 1085.734375 1618256925.4587
MEM 1085.734375 1618256925.5590
MEM 1085.734375 1618256925.6593
MEM 1085.734375 1618256925.7596
MEM 1085.734375 1618256925.8598
MEM 1085.734375 1618256925.9601
MEM 1085.734375 1618256926.0608
MEM 1085.734375 1618256926.1612
MEM 1085.734375 1618256926.2615
MEM 1085.761719 1618256926.3617
MEM 1085.761719 1618256926.4619
MEM 1085.761719 1618256926.5621
MEM 1085.785156 1618256926.6625
MEM 1086.238281 1618256926.7628
MEM 1086.257812 1618256926.8631
MEM 1086.269531 1618256926.9637
MEM 1086.324219 1618256927.0645
MEM 1086.324219 1618256927.1653
MEM 1086.324219 1618256927.2662
MEM 1086.324219 1618256927.3671
MEM 1086.324219 1618256927.4680
MEM 1086.324219 1618256927.5689
MEM 1086.324219 1618256927.6697
MEM 1086.324219 1618256927.7703
MEM 1086.324219 1618256927.8785
MEM 1086.324219 1618256927.9788
MEM 1086.324219 1618256928.0791
MEM 1086.324219 1618256928.1794
MEM 1086.324219 1618256928.2797
MEM 1086.324219 1618256928.3800
MEM 1086.324219 1618256928.4803
MEM 1086.324219 1618256928.5806
MEM 1086.324219 1618256928.6809
MEM 1086.324219 1618256928.7812
MEM 1086.324219 1618256928.8816
MEM 1086.324219 1618256928.9819
MEM 1086.324219 1618256929.0822
MEM 1086.324219 1618256929.1826
MEM 1086.324219 1618256929.2829
MEM 1086.324219 1618256929.3833
MEM 1086.339844 1618256929.4921
MEM 1086.339844 1618256929.5925
MEM 1086.339844 1618256929.6963
MEM 1086.339844 1618256929.7967
MEM 1086.339844 1618256929.8971
MEM 1143.777344 1618256929.9976
MEM 1240.980469 1618256930.0979
MEM 1451.453125 1618256930.1982
MEM 1637.105469 1618256930.2985
MEM 1847.265625 1618256930.3988
MEM 2060.222656 1618256930.4991
MEM 2251.539062 1618256930.5995
MEM 2448.355469 1618256930.6998
MEM 2658.566406 1618256930.8004
MEM 2831.257812 1618256930.9006
MEM 3014.476562 1618256931.0010
MEM 3218.921875 1618256931.1012
MEM 3390.988281 1618256931.2016
MEM 3579.613281 1618256931.3019
MEM 3764.589844 1618256931.4022
MEM 3930.125000 1618256931.5025
MEM 4130.687500 1618256931.6028
MEM 4244.601562 1618256931.7031
MEM 4446.328125 1618256931.8034
MEM 4503.105469 1618256931.9037
MEM 4554.304688 1618256932.0041
MEM 4613.187500 1618256932.1045
MEM 4643.000000 1618256932.2047
MEM 4644.230469 1618256932.3050
MEM 4644.230469 1618256932.4053
MEM 4644.230469 1618256932.5056
MEM 4644.324219 1618256932.6059
MEM 4644.324219 1618256932.7062
MEM 4644.324219 1618256932.8065
MEM 4644.324219 1618256932.9067
MEM 4644.324219 1618256933.0070
MEM 4644.324219 1618256933.1072
MEM 4644.324219 1618256933.2075
MEM 4644.324219 1618256933.3078
MEM 4644.324219 1618256933.4080
MEM 4644.324219 1618256933.5083
MEM 4644.324219 1618256933.6086
MEM 4644.324219 1618256933.7088
MEM 4644.324219 1618256933.8091
MEM 4644.324219 1618256933.9094
MEM 4644.324219 1618256934.0097
MEM 4644.324219 1618256934.1099
MEM 4644.324219 1618256934.2102
