CMDLINE python train.py
MEM 0.730469 1618257076.3012
MEM 355.593750 1618257076.4015
MEM 850.121094 1618257076.5018
MEM 893.480469 1618257076.6021
MEM 960.898438 1618257076.7024
MEM 978.285156 1618257076.8026
MEM 1010.113281 1618257076.9029
MEM 1028.289062 1618257077.0032
MEM 1047.742188 1618257077.1035
MEM 1068.058594 1618257077.2038
MEM 1077.285156 1618257077.3040
MEM 1077.777344 1618257077.4043
MEM 1077.777344 1618257077.5046
MEM 1082.890625 1618257077.6049
MEM 1083.343750 1618257077.7051
MEM 1083.343750 1618257077.8058
MEM 1083.343750 1618257077.9065
MEM 1083.406250 1618257078.0070
MEM 1083.406250 1618257078.1077
MEM 1083.406250 1618257078.2086
MEM 1083.406250 1618257078.3094
MEM 1083.406250 1618257078.4103
MEM 1083.406250 1618257078.5111
MEM 1083.406250 1618257078.6116
MEM 1083.406250 1618257078.7122
MEM 1083.406250 1618257078.8124
MEM 1083.406250 1618257078.9128
MEM 1083.406250 1618257079.0131
MEM 1083.406250 1618257079.1133
MEM 1083.406250 1618257079.2136
MEM 1083.406250 1618257079.3139
MEM 1083.406250 1618257079.4142
MEM 1083.406250 1618257079.5144
MEM 1083.406250 1618257079.6148
MEM 1083.406250 1618257079.7151
MEM 1083.406250 1618257079.8154
MEM 1083.406250 1618257079.9158
MEM 1083.406250 1618257080.0161
MEM 1083.406250 1618257080.1165
MEM 1083.406250 1618257080.2168
MEM 1083.406250 1618257080.3171
MEM 1083.406250 1618257080.4175
MEM 1083.406250 1618257080.5180
MEM 1083.406250 1618257080.6184
MEM 1083.406250 1618257080.7188
MEM 1140.703125 1618257080.8192
MEM 1252.996094 1618257080.9200
MEM 1487.273438 1618257081.0203
MEM 1567.992188 1618257081.1205
MEM 1778.812500 1618257081.2207
MEM 1988.382812 1618257081.3210
MEM 2165.257812 1618257081.4212
MEM 2377.894531 1618257081.5215
MEM 2556.148438 1618257081.6218
MEM 2751.414062 1618257081.7220
MEM 2952.742188 1618257081.8223
MEM 3148.363281 1618257081.9225
MEM 3335.628906 1618257082.0228
MEM 3526.007812 1618257082.1230
MEM 3717.246094 1618257082.2233
MEM 3904.562500 1618257082.3235
MEM 4071.898438 1618257082.4237
MEM 4279.035156 1618257082.5240
MEM 4450.597656 1618257082.6242
MEM 4457.437500 1618257082.7246
MEM 4457.550781 1618257082.8250
MEM 4457.320312 1618257082.9252
MEM 0.000000 1618257083.0255
MEM 0.000000 1618257083.1258
