CMDLINE python train.py
MEM 0.746094 1618257284.9679
MEM 338.125000 1618257285.0681
MEM 851.203125 1618257285.1684
MEM 892.839844 1618257285.2686
MEM 961.058594 1618257285.3688
MEM 978.160156 1618257285.4690
MEM 1010.070312 1618257285.5693
MEM 1028.464844 1618257285.6697
MEM 1048.906250 1618257285.7699
MEM 1069.164062 1618257285.8702
MEM 1077.359375 1618257285.9705
MEM 1077.781250 1618257286.0708
MEM 1077.781250 1618257286.1710
MEM 1078.171875 1618257286.2713
MEM 1078.300781 1618257286.3716
MEM 1078.304688 1618257286.4722
MEM 1078.304688 1618257286.5729
MEM 1078.304688 1618257286.6736
MEM 1078.304688 1618257286.7745
MEM 1078.304688 1618257286.8753
MEM 1078.304688 1618257286.9762
MEM 1078.304688 1618257287.0770
MEM 1078.304688 1618257287.1777
MEM 1078.304688 1618257287.2783
MEM 1078.304688 1618257287.3788
MEM 1078.304688 1618257287.4790
MEM 1078.304688 1618257287.5793
MEM 1078.304688 1618257287.6796
MEM 1078.304688 1618257287.7799
MEM 1078.304688 1618257287.8801
MEM 1078.304688 1618257287.9804
MEM 1078.304688 1618257288.0807
MEM 1078.304688 1618257288.1810
MEM 1078.304688 1618257288.2814
MEM 1078.304688 1618257288.3817
MEM 1078.304688 1618257288.4820
MEM 1078.304688 1618257288.5824
MEM 1078.304688 1618257288.6827
MEM 1078.304688 1618257288.7830
MEM 1078.304688 1618257288.8834
MEM 1078.304688 1618257288.9837
MEM 1078.304688 1618257289.0842
MEM 1078.304688 1618257289.1845
MEM 1078.304688 1618257289.2849
MEM 1078.304688 1618257289.3856
MEM 1081.488281 1618257289.4861
MEM 1088.167969 1618257289.5864
MEM 1086.578125 1618257289.6868
MEM 1086.578125 1618257289.7871
MEM 1086.343750 1618257289.8873
