CMDLINE python train.py
MEM 0.750000 1618257259.1545
MEM 348.542969 1618257259.2548
MEM 851.187500 1618257259.3551
MEM 892.390625 1618257259.4555
MEM 960.691406 1618257259.5557
MEM 977.988281 1618257259.6559
MEM 1009.894531 1618257259.7562
MEM 1028.445312 1618257259.8566
MEM 1047.968750 1618257259.9568
MEM 1068.652344 1618257260.0571
MEM 1077.277344 1618257260.1574
MEM 1077.703125 1618257260.2576
MEM 1077.703125 1618257260.3579
MEM 1078.101562 1618257260.4581
MEM 1078.156250 1618257260.5583
MEM 1078.156250 1618257260.6589
MEM 1078.156250 1618257260.7595
MEM 1078.187500 1618257260.8601
MEM 1078.187500 1618257260.9610
MEM 1078.187500 1618257261.0617
MEM 1078.187500 1618257261.1626
MEM 1078.187500 1618257261.2635
MEM 1078.187500 1618257261.3643
MEM 1078.187500 1618257261.4648
MEM 1078.187500 1618257261.5652
MEM 1078.187500 1618257261.6656
MEM 1078.187500 1618257261.7659
MEM 1078.187500 1618257261.8661
MEM 1078.187500 1618257261.9664
MEM 1078.187500 1618257262.0666
MEM 1078.187500 1618257262.1669
MEM 1078.187500 1618257262.2672
MEM 1078.187500 1618257262.3675
MEM 1078.187500 1618257262.4679
MEM 1078.187500 1618257262.5682
MEM 1078.187500 1618257262.6685
MEM 1078.187500 1618257262.7688
MEM 1078.187500 1618257262.8691
MEM 1078.187500 1618257262.9695
MEM 1078.187500 1618257263.0698
MEM 1078.187500 1618257263.1702
MEM 1078.187500 1618257263.2705
MEM 1078.187500 1618257263.3709
MEM 1078.187500 1618257263.4714
MEM 1078.187500 1618257263.5719
MEM 1081.816406 1618257263.6725
MEM 1085.578125 1618257263.7729
MEM 1088.664062 1618257263.8732
MEM 1087.097656 1618257263.9738
MEM 1087.097656 1618257264.0741
MEM 1086.867188 1618257264.1744
