CMDLINE python train.py
MEM 0.718750 1618257299.8560
MEM 358.195312 1618257299.9563
MEM 851.277344 1618257300.0566
MEM 892.492188 1618257300.1570
MEM 960.703125 1618257300.2572
MEM 978.058594 1618257300.3575
MEM 1009.753906 1618257300.4578
MEM 1028.179688 1618257300.5581
MEM 1047.402344 1618257300.6583
MEM 1067.738281 1618257300.7585
MEM 1077.046875 1618257300.8588
MEM 1077.539062 1618257300.9590
MEM 1077.539062 1618257301.0592
MEM 1077.539062 1618257301.1595
MEM 1077.996094 1618257301.2598
MEM 1077.996094 1618257301.3603
MEM 1077.996094 1618257301.4614
MEM 1078.023438 1618257301.5622
MEM 1078.023438 1618257301.6630
MEM 1078.023438 1618257301.7640
MEM 1078.023438 1618257301.8648
MEM 1078.023438 1618257301.9658
MEM 1078.023438 1618257302.0665
MEM 1078.023438 1618257302.1671
MEM 1078.023438 1618257302.2676
MEM 1078.023438 1618257302.3679
MEM 1078.023438 1618257302.4682
MEM 1078.023438 1618257302.5684
MEM 1078.023438 1618257302.6736
MEM 1078.023438 1618257302.7739
MEM 1078.023438 1618257302.8742
MEM 1078.023438 1618257302.9745
MEM 1078.023438 1618257303.0748
MEM 1078.023438 1618257303.1752
MEM 1078.023438 1618257303.2755
MEM 1078.023438 1618257303.3758
MEM 1078.023438 1618257303.4761
MEM 1078.023438 1618257303.5765
MEM 1078.023438 1618257303.6768
MEM 1078.023438 1618257303.7771
MEM 1078.023438 1618257303.8775
MEM 1078.023438 1618257303.9778
MEM 1078.023438 1618257304.0783
MEM 1078.023438 1618257304.1787
MEM 1081.187500 1618257304.2792
MEM 1083.023438 1618257304.3798
MEM 1088.195312 1618257304.4801
MEM 1088.406250 1618257304.5804
MEM 1091.527344 1618257304.6807
MEM 1091.562500 1618257304.7809
MEM 1091.562500 1618257304.8811
MEM 1091.562500 1618257304.9814
MEM 1091.562500 1618257305.0817
MEM 1091.562500 1618257305.1819
MEM 1091.562500 1618257305.2822
MEM 1091.562500 1618257305.3824
MEM 1091.562500 1618257305.4826
MEM 1091.562500 1618257305.5829
MEM 1091.562500 1618257305.6831
MEM 1091.562500 1618257305.7834
MEM 1091.562500 1618257305.8837
MEM 1091.562500 1618257305.9839
MEM 1091.562500 1618257306.0842
MEM 1091.562500 1618257306.1844
MEM 1091.562500 1618257306.2847
MEM 1091.562500 1618257306.3849
MEM 1091.562500 1618257306.4851
MEM 1091.562500 1618257306.5854
MEM 1091.562500 1618257306.6857
MEM 1091.562500 1618257306.7860
MEM 1091.562500 1618257306.8862
MEM 1091.562500 1618257306.9865
MEM 1091.562500 1618257307.0868
MEM 1091.562500 1618257307.1870
MEM 1091.562500 1618257307.2872
MEM 1091.562500 1618257307.3875
MEM 1091.562500 1618257307.4878
MEM 1091.562500 1618257307.5880
MEM 1091.562500 1618257307.6882
MEM 1091.562500 1618257307.7885
MEM 1091.562500 1618257307.8888
MEM 1091.562500 1618257307.9891
MEM 1091.562500 1618257308.0923
MEM 1091.562500 1618257308.1925
MEM 1091.562500 1618257308.2938
MEM 1091.562500 1618257308.3941
MEM 1091.562500 1618257308.4944
MEM 1091.562500 1618257308.5946
MEM 1091.562500 1618257308.6949
MEM 1091.562500 1618257308.7952
MEM 1091.562500 1618257308.8954
MEM 1091.562500 1618257308.9957
MEM 1091.562500 1618257309.0959
MEM 1091.562500 1618257309.1962
MEM 1091.562500 1618257309.2965
MEM 1091.562500 1618257309.3968
MEM 1091.562500 1618257309.4970
MEM 1091.562500 1618257309.5973
MEM 1091.562500 1618257309.6976
MEM 1091.562500 1618257309.7978
MEM 1091.562500 1618257309.8981
MEM 1091.562500 1618257309.9983
MEM 1091.562500 1618257310.0986
MEM 1091.562500 1618257310.1989
MEM 1091.562500 1618257310.2991
MEM 1091.562500 1618257310.4011
MEM 1091.562500 1618257310.5014
MEM 1091.562500 1618257310.6017
MEM 1091.562500 1618257310.7020
MEM 1091.562500 1618257310.8022
MEM 1091.562500 1618257310.9025
MEM 1091.562500 1618257311.0027
MEM 1091.562500 1618257311.1029
MEM 1091.562500 1618257311.2032
MEM 1091.562500 1618257311.3034
MEM 1091.562500 1618257311.4037
MEM 1091.562500 1618257311.5040
MEM 1091.562500 1618257311.6042
MEM 1091.562500 1618257311.7045
MEM 1091.562500 1618257311.8048
MEM 1091.562500 1618257311.9051
MEM 1091.562500 1618257312.0054
MEM 1091.562500 1618257312.1057
MEM 1091.562500 1618257312.2059
MEM 1091.562500 1618257312.3062
MEM 1091.562500 1618257312.4064
MEM 1091.562500 1618257312.5067
MEM 1091.562500 1618257312.6069
MEM 1091.562500 1618257312.7072
MEM 1091.562500 1618257312.8075
MEM 1091.562500 1618257312.9078
MEM 1091.562500 1618257313.0080
MEM 1091.562500 1618257313.1083
MEM 1091.562500 1618257313.2085
MEM 1091.562500 1618257313.3087
MEM 1091.562500 1618257313.4090
MEM 1091.562500 1618257313.5093
MEM 1091.562500 1618257313.6095
MEM 1091.562500 1618257313.7098
MEM 1091.562500 1618257313.8100
MEM 1091.562500 1618257313.9103
MEM 1091.562500 1618257314.0106
MEM 1091.562500 1618257314.1108
MEM 1091.562500 1618257314.2111
MEM 1091.562500 1618257314.3114
MEM 1091.562500 1618257314.4117
MEM 1091.562500 1618257314.5119
MEM 1091.562500 1618257314.6122
MEM 1091.562500 1618257314.7124
MEM 1091.562500 1618257314.8127
MEM 1091.562500 1618257314.9130
MEM 1091.562500 1618257315.0132
MEM 1091.562500 1618257315.1135
MEM 1091.562500 1618257315.2139
MEM 1091.562500 1618257315.3141
MEM 1091.562500 1618257315.4144
MEM 1091.562500 1618257315.5147
MEM 1091.562500 1618257315.6149
MEM 1091.562500 1618257315.7152
MEM 1091.562500 1618257315.8155
MEM 1091.562500 1618257315.9157
MEM 1091.562500 1618257316.0160
MEM 1091.562500 1618257316.1163
MEM 1091.562500 1618257316.2165
MEM 1091.562500 1618257316.3168
MEM 1091.562500 1618257316.4171
MEM 1091.562500 1618257316.5174
MEM 1091.562500 1618257316.6177
MEM 1091.562500 1618257316.7179
MEM 1091.562500 1618257316.8182
MEM 1091.562500 1618257316.9185
MEM 1091.562500 1618257317.0188
