CMDLINE python train.py
MEM 0.589844 1618257014.4260
MEM 339.976562 1618257014.5263
MEM 850.210938 1618257014.6265
MEM 892.117188 1618257014.7267
MEM 960.476562 1618257014.8270
MEM 976.960938 1618257014.9272
MEM 1008.675781 1618257015.0275
MEM 1026.839844 1618257015.1278
MEM 1042.429688 1618257015.2281
MEM 1064.039062 1618257015.3284
MEM 1076.671875 1618257015.4287
MEM 1077.281250 1618257015.5290
MEM 1077.351562 1618257015.6293
MEM 1082.441406 1618257015.7295
MEM 1082.484375 1618257015.8298
MEM 1082.601562 1618257015.9300
MEM 1084.531250 1618257016.0303
MEM 1084.726562 1618257016.1305
MEM 1085.140625 1618257016.2308
MEM 1085.187500 1618257016.3311
MEM 1085.187500 1618257016.4313
MEM 1085.187500 1618257016.5316
MEM 1085.187500 1618257016.6318
MEM 1085.187500 1618257016.7320
MEM 1085.203125 1618257016.8323
MEM 1085.203125 1618257016.9326
MEM 1085.203125 1618257017.0328
MEM 1085.230469 1618257017.1331
MEM 1085.671875 1618257017.2333
MEM 1085.703125 1618257017.3338
MEM 1085.710938 1618257017.4346
MEM 1085.710938 1618257017.5355
MEM 1085.710938 1618257017.6364
MEM 1085.710938 1618257017.7384
MEM 1085.710938 1618257017.8391
MEM 1085.710938 1618257017.9398
MEM 1085.710938 1618257018.0405
MEM 1085.710938 1618257018.1410
MEM 1085.710938 1618257018.2417
MEM 1085.710938 1618257018.3420
MEM 1085.710938 1618257018.4423
MEM 1085.710938 1618257018.5426
MEM 1085.710938 1618257018.6429
MEM 1085.710938 1618257018.7432
MEM 1085.710938 1618257018.8434
MEM 1085.710938 1618257018.9437
MEM 1085.710938 1618257019.0440
MEM 1085.710938 1618257019.1444
MEM 1085.710938 1618257019.2447
MEM 1085.710938 1618257019.3450
MEM 1085.710938 1618257019.4454
MEM 1085.710938 1618257019.5458
MEM 1085.710938 1618257019.6461
MEM 1085.710938 1618257019.7465
MEM 1085.730469 1618257019.8469
MEM 1085.730469 1618257019.9472
MEM 1085.730469 1618257020.0476
MEM 1085.730469 1618257020.1481
MEM 1090.085938 1618257020.2486
MEM 1178.000000 1618257020.3490
MEM 1244.964844 1618257020.4495
MEM 1371.089844 1618257020.5498
MEM 1574.707031 1618257020.6502
MEM 1773.628906 1618257020.7505
MEM 1969.515625 1618257020.8509
MEM 2166.304688 1618257020.9512
MEM 2345.386719 1618257021.0515
MEM 2553.035156 1618257021.1518
MEM 2744.062500 1618257021.2522
MEM 2938.566406 1618257021.3525
MEM 3135.988281 1618257021.4529
MEM 3375.066406 1618257021.5532
MEM 3457.234375 1618257021.6535
MEM 3647.250000 1618257021.7538
MEM 3835.187500 1618257021.8541
MEM 4025.503906 1618257021.9545
MEM 4194.636719 1618257022.0548
MEM 4374.226562 1618257022.1551
MEM 4466.355469 1618257022.2559
MEM 4466.500000 1618257022.3577
MEM 4466.500000 1618257022.4580
MEM 4466.500000 1618257022.5582
MEM 4466.500000 1618257022.6585
MEM 4466.500000 1618257022.7587
MEM 4466.500000 1618257022.8589
MEM 4466.500000 1618257022.9594
MEM 4466.500000 1618257023.0597
MEM 4466.500000 1618257023.1601
MEM 4466.500000 1618257023.2604
MEM 4466.500000 1618257023.3607
MEM 4466.500000 1618257023.4611
MEM 4466.500000 1618257023.5614
MEM 4466.500000 1618257023.6618
MEM 4466.500000 1618257023.7626
MEM 4466.500000 1618257023.8634
MEM 4466.500000 1618257023.9638
MEM 4466.500000 1618257024.0647
MEM 4466.500000 1618257024.1651
MEM 4466.500000 1618257024.2653
MEM 4466.500000 1618257024.3657
MEM 4466.500000 1618257024.4665
MEM 4466.500000 1618257024.5673
MEM 4466.500000 1618257024.6680
MEM 4466.500000 1618257024.7690
MEM 4466.500000 1618257024.8694
MEM 4466.500000 1618257024.9702
MEM 4466.500000 1618257025.0707
MEM 4466.500000 1618257025.1714
MEM 4466.500000 1618257025.2718
MEM 4466.500000 1618257025.3722
MEM 4466.500000 1618257025.4727
MEM 4466.500000 1618257025.5737
MEM 4466.500000 1618257025.6741
MEM 4466.500000 1618257025.7743
MEM 4466.500000 1618257025.8752
MEM 4466.500000 1618257025.9760
MEM 4466.500000 1618257026.0768
MEM 4466.500000 1618257026.1777
MEM 4466.500000 1618257026.2780
MEM 4466.500000 1618257026.3788
MEM 4466.500000 1618257026.4796
MEM 4466.500000 1618257026.5806
MEM 4466.500000 1618257026.6809
MEM 4466.500000 1618257026.7818
MEM 4466.500000 1618257026.8826
MEM 4466.500000 1618257026.9834
MEM 4466.500000 1618257027.0842
MEM 4466.500000 1618257027.1845
MEM 4466.500000 1618257027.2847
MEM 4466.500000 1618257027.3850
MEM 4466.500000 1618257027.4857
MEM 4466.500000 1618257027.5865
MEM 4466.500000 1618257027.6871
MEM 4466.500000 1618257027.7876
MEM 4466.500000 1618257027.8881
MEM 4466.500000 1618257027.9886
MEM 4466.500000 1618257028.0889
MEM 4466.500000 1618257028.1894
MEM 4466.500000 1618257028.2899
MEM 4466.500000 1618257028.3905
MEM 4466.500000 1618257028.4910
MEM 4466.500000 1618257028.5916
MEM 4466.500000 1618257028.6919
MEM 4466.500000 1618257028.7922
MEM 4466.500000 1618257028.8924
MEM 4466.500000 1618257028.9934
MEM 4466.500000 1618257029.0942
MEM 4466.500000 1618257029.1946
MEM 4466.500000 1618257029.2950
MEM 4466.500000 1618257029.3954
MEM 4466.500000 1618257029.4963
MEM 4466.500000 1618257029.5969
MEM 4466.500000 1618257029.6977
MEM 4466.500000 1618257029.7986
MEM 4466.500000 1618257029.8991
MEM 4466.500000 1618257029.9995
MEM 4466.500000 1618257030.1004
MEM 4466.500000 1618257030.2009
MEM 4466.500000 1618257030.3013
MEM 4466.500000 1618257030.4015
MEM 4466.500000 1618257030.5024
MEM 4466.500000 1618257030.6028
MEM 4466.500000 1618257030.7036
MEM 4466.500000 1618257030.8044
MEM 4466.500000 1618257030.9053
MEM 4466.500000 1618257031.0057
MEM 4466.500000 1618257031.1062
MEM 4466.500000 1618257031.2070
MEM 4466.500000 1618257031.3074
MEM 4466.500000 1618257031.4076
MEM 4466.500000 1618257031.5085
MEM 4466.500000 1618257031.6089
MEM 4466.500000 1618257031.7097
MEM 4466.500000 1618257031.8101
MEM 4466.500000 1618257031.9104
MEM 4466.500000 1618257032.0112
MEM 4466.500000 1618257032.1115
MEM 4466.500000 1618257032.2124
