CMDLINE python train.py
MEM 0.500000 1618257111.2866
MEM 362.453125 1618257111.3869
MEM 850.191406 1618257111.4872
MEM 893.882812 1618257111.5875
MEM 961.308594 1618257111.6878
MEM 978.917969 1618257111.7880
MEM 1010.171875 1618257111.8883
MEM 1028.648438 1618257111.9886
MEM 1048.199219 1618257112.0889
MEM 1068.914062 1618257112.1891
MEM 1077.660156 1618257112.2894
MEM 1078.078125 1618257112.3896
MEM 1078.078125 1618257112.4899
MEM 1083.292969 1618257112.5902
MEM 1083.683594 1618257112.6904
MEM 1083.683594 1618257112.7910
MEM 1083.734375 1618257112.8918
MEM 1083.734375 1618257112.9925
MEM 1083.734375 1618257113.0933
MEM 1083.734375 1618257113.1940
MEM 1083.734375 1618257113.2947
MEM 1083.734375 1618257113.3953
MEM 1083.734375 1618257113.4960
MEM 1083.734375 1618257113.5963
MEM 1083.734375 1618257113.6966
MEM 1083.734375 1618257113.7969
MEM 1083.734375 1618257113.8972
MEM 1083.734375 1618257113.9975
MEM 1083.734375 1618257114.0978
MEM 1083.734375 1618257114.1981
MEM 1083.734375 1618257114.2983
MEM 1083.734375 1618257114.3986
MEM 1083.734375 1618257114.4989
MEM 1083.734375 1618257114.5992
MEM 1083.734375 1618257114.6995
MEM 1083.734375 1618257114.8013
MEM 1083.734375 1618257114.9016
MEM 1083.734375 1618257115.0035
MEM 1083.734375 1618257115.1038
MEM 1083.734375 1618257115.2042
MEM 1083.734375 1618257115.3045
MEM 1083.734375 1618257115.4049
MEM 1083.734375 1618257115.5053
MEM 1162.984375 1618257115.6057
MEM 1243.855469 1618257115.7061
MEM 1354.347656 1618257115.8067
MEM 1491.527344 1618257115.9070
MEM 1667.980469 1618257116.0073
MEM 1856.718750 1618257116.1076
MEM 2056.851562 1618257116.2078
MEM 2256.371094 1618257116.3081
MEM 2450.234375 1618257116.4084
MEM 2690.882812 1618257116.5086
MEM 2787.414062 1618257116.6088
MEM 2971.070312 1618257116.7091
MEM 3150.496094 1618257116.8093
MEM 3329.917969 1618257116.9096
MEM 3529.027344 1618257117.0098
MEM 3707.828125 1618257117.1100
MEM 3891.335938 1618257117.2103
MEM 4080.828125 1618257117.3106
MEM 4271.324219 1618257117.4108
MEM 4450.906250 1618257117.5110
MEM 4458.292969 1618257117.6114
MEM 4458.292969 1618257117.7118
MEM 4458.066406 1618257117.8121
MEM 0.000000 1618257117.9123
MEM 0.000000 1618257118.0125
